"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"202605","1호선","동대문","715","21","10855","2123","9369","7719","15679","13308","23181","21863","24194","25683","22740","30558","24710","36296","29012","36091","33750","37012","37736","37031","39923","35715","41591","32699","38909","29635","33855","27371","25351","24798","21870","18498","18486","17979","13800","16407","6833","10982","875","3171","0","264","2","0","0","0","20260603"
"202605","1호선","동묘앞","161","3","2920","1105","4082","6397","8524","11756","13636","23384","13719","21962","16234","32111","22981","43169","31516","45438","39569","48217","42949","43492","44924","37395","44096","27547","39989","19718","28664","14975","15951","10395","8631","7612","6340","7688","4155","7753","1675","5199","125","2420","0","314","0","0","0","0","20260603"
"202605","1호선","서울역","802","57","12246","11962","37333","70445","107361","132338","178791","245420","142378","179215","122893","121176","129237","118236","145468","130777","136163","126488","118917","115493","147845","137678","166132","148477","233468","180949","257442","205329","151798","142392","117591","108760","117020","103916","79512","76080","42104","40460","5016","9678","16","207","0","0","0","0","20260603"
"202605","1호선","시청","158","0","1859","5829","4191","30940","7444","74119","10374","192011","13873","90924","16273","54373","22313","50702","26095","45875","35051","44604","45251","36175","56606","31963","68646","30024","100900","30715","152812","26496","64223","14337","60588","10436","52401","9211","33102","6594","10836","3808","576","1016","0","20","0","0","0","0","20260603"
"202605","1호선","신설동","427","13","8823","2285","10820","9884","22089","25082","32473","50535","24007","32368","22142","23140","24045","21057","25061","21004","27258","22280","25571","21073","27600","22533","31757","24325","42742","27371","51714","32511","21993","23502","15953","18649","14186","18451","9981","16147","4630","11044","498","3040","1","4","0","0","0","0","20260603"
"202605","1호선","제기동","329","3","5202","2922","9349","11015","20860","19783","30545","36632","25234","33034","27718","38190","33982","43345","38587","44201","40986","46513","43503","41829","44195","36468","44524","34745","42261","29560","36657","27430","20947","18554","14142","12660","9077","12458","5629","10275","2259","6626","194","1617","0","2","0","0","0","0","20260603"
"202605","1호선","종각","152","5","4617","5537","4845","33390","7332","112215","11191","239191","15695","136401","20894","74116","32096","74262","40235","67302","51481","65697","66070","54583","80280","50277","96219","52902","162675","57754","203295","57018","98696","29685","99840","18079","103119","13381","71465","8750","30606","5388","2169","1280","0","1","0","0","0","0","20260603"
"202605","1호선","종로3가","252","24","4733","4338","4618","14136","7488","27674","11261","59564","16843","60687","24094","57346","34488","68010","46381","66938","49999","61974","61970","56594","70838","50212","76478","49153","87333","47108","90475","45158","60002","27554","57429","17246","60354","13253","44992","9785","22981","6562","2106","2370","3","40","0","0","0","0","20260603"
"202605","1호선","종로5가","67","2","2090","4500","3310","20396","6503","43208","11673","85077","17418","64309","27787","60355","38137","64081","45908","60402","55674","56018","64154","52550","68575","45004","75772","41809","89510","38237","88784","34458","50182","20457","38075","12525","35227","9099","21616","7265","6157","4702","414","924","0","0","0","0","0","0","20260603"
"202605","1호선","청량리(서울시립대입구)","1377","69","11362","3262","19305","11662","47998","19224","56456","41725","41002","44754","39764","47351","44893","54022","53534","57080","54869","57425","57414","55401","59852","52836","63881","54535","58821","56004","49493","63218","31649","41655","26439","27705","20399","26865","12433","22960","5207","14262","406","4875","2","5","0","0","0","0","20260603"
"202605","2호선","강남","146","12","8318","11264","18958","50761","41095","146208","61338","299290","55593","313737","60727","155222","78919","106817","95069","108797","111482","123006","123087","110723","146787","106436","170685","115830","248147","142723","304198","168111","208495","102095","168149","68100","177030","58362","154493","45884","69519","25479","10617","6207","1","24","0","0","0","0","20260603"
"202605","2호선","강변(동서울터미널)","17","0","8384","2052","21949","23524","61975","25379","96298","41331","77339","37162","66173","35198","58870","34205","52704","38676","49377","44058","45871","47880","48760","57541","52296","61847","57760","75431","60118","90744","42874","63172","35203","47242","28660","38441","19200","32774","6995","17493","742","4085","1","25","0","0","0","0","20260603"
"202605","2호선","건대입구","379","15","15780","1871","23349","15620","55289","25113","88154","61372","66430","52707","48087","54685","46536","58965","55443","66818","60861","71700","64267","71662","70956","77815","79061","88908","90270","116954","97334","152039","76921","108834","81397","76689","86020","72452","83563","63665","50256","39209","7577","12186","18","989","0","0","0","0","20260603"
"202605","2호선","교대(법원.검찰청)","27","0","2799","6401","11270","28969","25365","54712","33744","147204","30389","121290","28280","66368","33702","58153","35783","54475","43668","58686","51272","51274","54504","48754","58178","50304","89409","64165","123035","66357","58070","40016","51332","28627","50640","25828","35918","23668","14738","12774","2586","3530","0","12","0","0","0","0","20260603"
"202605","2호선","구로디지털단지","411","13","38529","5553","53889","20899","132789","78431","179188","198974","117848","122781","79215","58614","71587","47889","79286","54439","75739","67100","67986","63907","75507","72038","87532","85963","132120","114338","179874","156772","93777","122372","60086","90690","48093","91770","37388","86615","17781","51630","3056","14188","6","271","0","0","0","0","20260603"
"202605","2호선","구의(광진구청)","84","5","14240","1439","29224","12587","75807","21025","119463","46169","78271","29587","49242","26542","42568","30098","43409","32909","44403","36209","42310","38503","42149","47530","47336","54324","47357","74486","54380","107065","32843","77518","26731","56155","25139","52361","20300","48417","9377","27041","1483","7255","2","116","0","0","0","0","20260603"
"202605","2호선","낙성대(강감찬)","77","6","12834","2442","28147","10796","79795","21732","117994","42051","81425","36961","50154","32134","43877","28366","48580","32285","47157","34468","43039","35992","43170","41895","46440","50195","49877","65104","53250","99491","32008","81438","27375","58550","23933","58868","16781","56581","8848","35510","1463","8736","0","186","0","0","0","0","20260603"
"202605","2호선","당산","49","7","8761","3217","19185","13516","48182","27421","57424","70288","39180","32338","30497","19597","29120","19342","30018","23033","28884","26646","26093","27494","26871","32197","31669","39471","44767","55154","54907","74937","29121","51149","25020","37232","23841","36783","19559","32834","9984","22036","1507","4932","2","103","0","0","0","0","20260603"
"202605","2호선","대림(구로구청)","766","38","33958","3228","30991","11351","66667","23265","96126","51131","67640","35902","45625","36063","39174","38005","40717","37225","40075","36652","37371","37179","39157","45788","40623","53386","44879","65892","48022","69431","27582","51729","21184","43808","15407","54156","11656","49011","6076","24899","789","5735","5","172","0","0","0","0","20260603"
"202605","2호선","도림천","0","0","448","251","1414","1135","3598","5701","3404","5495","2499","2204","3325","1605","2637","1501","2113","1535","1825","2177","2370","2031","2592","1915","3444","2073","3275","2535","3338","3426","1414","2593","1014","1958","880","1718","514","1322","205","896","49","310","1","5","0","0","0","0","20260603"
"202605","2호선","동대문역사문화공원(DDP)","241","24","4407","1253","3992","9801","7585","21215","14063","43954","18242","32626","20933","35153","23138","37188","26662","38442","29663","41046","34268","41013","41767","39190","47591","37890","53525","38769","50620","41952","36422","35772","30774","29369","26956","24909","21964","20555","11429","12332","2154","3546","1","106","0","0","0","0","20260603"
"202605","2호선","뚝섬","36","1","3810","2238","9520","15484","19566","40669","27015","131265","20012","96327","19200","58363","24782","54757","30330","52918","37355","51716","44931","47816","56470","46719","65763","44409","94411","47659","133389","50425","79545","31219","59703","19876","46951","16554","28509","14293","10613","8744","1426","2777","2","85","0","0","0","0","20260603"
"202605","2호선","문래","16","0","4302","2995","14761","12068","40794","38084","48891","119152","29450","57372","23230","26842","22671","25697","28336","30001","28353","31391","29329","30454","32347","32591","37449","38372","63252","46815","98255","64588","39440","42475","30823","25547","32971","22397","29485","18903","14473","11447","2233","3538","1","80","0","0","1","0","20260603"
"202605","2호선","방배","4","0","3043","3671","9961","13747","21983","27677","30327","69543","25117","60507","20468","36028","22614","29420","26356","29582","28804","26790","33074","26112","36202","25282","43339","26697","53512","33558","58543","36088","29695","25027","24021","17780","23925","17368","19731","16299","7469","9500","1524","2624","1","4","0","0","0","0","20260603"
"202605","2호선","봉천","80","1","15134","1538","29844","7190","80985","13083","112916","25770","76898","22355","47029","21249","39975","23772","41729","26433","40474","28779","34779","32964","33142","40233","34468","47649","33803","59885","33368","89572","21898","70326","18578","48659","15407","46531","11277","42443","5146","25185","783","7974","1","163","0","0","0","0","20260603"
"202605","2호선","사당","127","3","13229","4215","31428","38406","77924","51925","99180","75645","81277","59032","57937","52483","55775","63376","62720","65057","66300","61837","70630","62727","71453","73903","74208","97038","89027","135441","103832","176256","76043","115646","73532","81286","78694","78013","69312","70898","38355","42774","6021","11847","4","851","0","0","0","0","20260603"
"202605","2호선","삼성(무역센터)","100","0","4586","6049","7195","50080","13962","133298","19450","280832","20877","230275","26763","115135","40369","86956","54018","81875","69881","85936","86879","72029","108853","62405","145548","61660","226799","62594","262603","58334","141773","32898","117816","19960","96719","16462","64797","12036","16259","6727","2200","4738","3","1124","0","0","0","0","20260603"
"202605","2호선","상왕십리","17","2","5807","953","15104","6681","40873","11447","61178","28031","38043","18748","26286","14588","23219","14498","24887","15784","23421","18008","21650","20280","22325","23717","24095","29102","26043","38697","26804","53225","18997","37034","13214","26642","11198","25179","7575","23010","3219","14163","459","4136","0","14","0","0","0","0","20260603"
"202605","2호선","서울대입구(관악구청)","4100","35","27883","2895","45668","15118","119921","29794","164414","75009","121475","71378","77525","59056","69135","51915","78134","56497","79069","60380","71989","61162","76466","69949","81159","81886","90237","110060","96663","163406","59535","129360","51593","89931","50295","89725","42992","88013","23150","52551","4187","20476","0","2994","0","0","0","0","20260603"
"202605","2호선","서초","4","0","1836","5453","9380","25930","19063","53476","27653","107350","29402","83164","23089","43702","33191","36059","30694","27554","37419","28592","38588","28621","45879","22746","52443","24836","72338","26587","86504","28296","40559","19999","30256","13283","30426","12115","19675","11328","6103","6337","927","1377","0","0","0","0","0","0","20260603"
"202605","2호선","선릉","175","8","4852","5903","12003","45131","23298","118444","36288","254821","37483","193629","41896","97965","51698","65382","62874","62144","69316","71025","78295","56311","99739","53567","122999","52801","196607","58912","260765","57788","135060","38011","93430","26746","83804","24487","69742","20893","23512","12682","3828","4743","1","57","0","0","0","0","20260603"
"202605","2호선","성수","65","2","5118","5683","8904","44587","20452","74841","27426","236051","24792","192221","27531","152541","37592","150829","54433","151216","74015","155430","98235","148169","131118","140726","165941","126834","217976","116456","293990","100992","198233","60596","168505","32705","138274","21694","85208","15945","27264","12299","2901","7334","5","1105","0","0","0","0","20260603"
"202605","2호선","시청","21","0","976","2601","2402","23812","5196","70371","9523","201697","14286","84784","21437","34442","27534","31880","28877","30825","34468","32696","40711","27092","49586","24600","61235","23449","109023","24776","154022","23332","59734","13594","48942","9675","42291","9746","25900","7996","9990","4693","1208","1264","0","42","0","0","0","0","20260603"
"202605","2호선","신답","6","1","1090","115","2045","512","6286","1093","10546","1540","5166","1096","3338","1148","2825","1339","2837","1633","2686","1750","2335","2255","2241","3134","2246","4252","2426","5244","2159","10043","1179","6742","792","4108","632","4229","410","3404","185","2327","47","523","0","0","0","0","0","0","20260603"
"202605","2호선","신당","35","2","5853","1638","11908","8314","29776","15554","50695","30087","31700","22143","24089","20175","22984","22580","25906","24261","26355","25272","25699","26319","27216","28823","29443","34076","32958","44682","34126","57303","24842","39595","21179","27893","19433","24931","17041","21845","9258","13932","1530","3966","3","29","0","0","0","0","20260603"
"202605","2호선","신대방","241","5","23448","2314","34190","10130","85660","14469","122877","24533","83142","19420","51157","19652","42097","20317","41815","23709","38843","27357","33744","31833","33079","40710","34758","48336","33834","61520","31073","90263","20906","74361","16713","55969","13900","60696","10515","57335","5596","33663","923","9042","1","186","0","0","0","0","20260603"
"202605","2호선","신도림","4553","37","38057","5942","57421","20960","134939","41541","142994","96056","95283","70042","72015","60032","70321","62336","79305","66584","78787","73976","78096","69640","80118","79897","87465","93394","105548","120464","112746","164807","68955","113543","57225","77180","57528","75138","53371","71862","21190","51892","2415","23069","10","2605","0","0","0","0","20260603"
"202605","2호선","신림","290","10","36653","4119","70067","19001","172838","30327","256686","43694","170320","44970","103434","45888","88815","49741","94251","56103","87857","64448","79388","69923","77711","88398","80736","106699","79989","138846","78926","219609","58762","182477","50008","136129","45073","131180","37655","124784","21618","82216","4016","23885","1","75","0","0","0","0","20260603"
"202605","2호선","신설동","33","1","1226","308","1807","1956","4675","5570","9213","13098","6481","10097","6313","9357","7651","8216","9111","8163","9823","8516","10148","7010","10419","6646","10961","6191","13418","6844","12843","7652","5551","5941","3649","4776","2830","4566","2066","4280","880","2811","104","940","2","127","0","0","0","0","20260603"
"202605","2호선","신정네거리","95","0","8772","918","18173","2829","47578","4655","41858","11765","25054","9210","19617","8587","17804","8887","17905","11223","16072","13084","13759","14139","12964","18630","13587","23850","12637","30710","11627","42815","7582","34816","5600","20664","4574","18608","3674","16558","1550","10811","238","2854","0","128","0","0","0","0","20260603"
"202605","2호선","신촌","73","5","8082","2771","15143","15492","35250","35585","52320","85379","44324","96250","46810","80397","55341","70911","66216","76291","71137","83013","73158","73348","82561","71463","95757","78845","112623","98597","104473","118400","77291","82837","81301","57443","85508","50784","86324","46014","46096","30492","6429","6756","1","52","0","0","0","0","20260603"
"202605","2호선","아현","7","0","4771","598","12028","5528","30365","11307","41603","20124","27428","15175","20725","13387","19945","11846","21611","13734","19343","15900","17676","16401","19423","18865","22363","21589","21641","27317","20214","35377","12934","25857","9948","19569","7822","18548","5835","17362","2448","9550","289","2357","0","6","0","0","0","0","20260603"
"202605","2호선","양천구청","60","1","5035","775","12226","2883","30657","5824","28543","9703","18231","5464","14027","4723","11824","5529","11897","7365","10652","9068","8899","10040","8754","12530","9056","15798","9235","21097","9183","28983","4546","22833","3323","14838","2772","13491","2319","10808","671","7831","165","2266","1","21","0","0","0","0","20260603"
"202605","2호선","역삼","17","2","3631","6738","9129","44653","15188","141310","25123","310279","25039","266950","27378","112023","34420","62838","41583","58472","49111","63127","59763","48910","75517","42304","100446","42024","201614","49733","238518","53804","133861","35015","79175","24398","72383","21263","48435","17882","18899","11016","2943","2907","1","13","0","0","0","0","20260603"
"202605","2호선","영등포구청","75","0","5926","4486","13760","15578","39627","38995","49121","119831","33378","53455","26679","30598","28264","27205","31395","28383","32316","30748","32725","29170","35985","30113","41982","34027","60433","41861","95582","58522","37888","39029","29933","26256","27382","24428","19669","21378","9254","14879","1543","4836","3","117","0","0","0","0","20260603"
"202605","2호선","왕십리(성동구청)","691","6","7068","1183","10840","7652","27215","14757","46313","28247","31685","21239","24075","17463","24414","19047","28424","21874","27652","22856","27141","23481","30086","26129","35207","31008","38602","40258","37337","55700","26116","36260","24898","26690","26751","24899","25043","23929","15679","16189","3273","5538","4","46","0","0","0","0","20260603"
"202605","2호선","용답","17","0","2513","297","3445","1274","7941","1896","13267","3897","7950","4955","6090","3405","5511","3036","6274","3587","5814","4330","5120","4208","5453","5116","6875","6590","6200","8015","4628","11676","3151","7994","2460","6586","1928","7290","1391","6527","600","4246","121","1025","0","1","0","0","0","0","20260603"
